,Location,Total Land Area (acres),Number of Cows,Farm Size,Quantity (liters/kg),Price per Unit,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
1901,Uttar Pradesh,920.3,68,Small,782.83,44.26,570,46.02,26231.4,Wholesale,212,13.32,25.79
1902,Haryana,435.27,33,Medium,446.6,35.52,130,37.31,4850.3,Online,316,64.74,104.58
1903,West Bengal,704.31,73,Small,801.88,25.4,724,24.42,17680.08,Wholesale,77,59.98,131.05
1904,Rajasthan,647.78,15,Small,90.99,56.51,16,52.01,832.16,Online,74,35.69,114.74
1905,Kerala,435.46,91,Medium,876.44,12.08,180,8.27,1488.6,Wholesale,696,66.13,79.47
1906,Delhi,568.07,96,Large,526.6,93.95,120,92.45,11094.0,Wholesale,406,11.54,195.94
1907,Delhi,739.04,25,Medium,562.06,91.03,229,90.71,20772.59,Retail,333,25.46,43.66
1908,Maharashtra,41.6,29,Medium,788.95,27.66,364,26.91,9795.24,Retail,424,62.85,92.7
1909,Maharashtra,934.84,40,Small,567.25,10.78,516,12.98,6697.68,Retail,51,57.92,48.94
1910,Delhi,811.07,88,Large,365.03,65.48,299,60.72,18155.28,Online,66,18.83,71.75
1911,Uttar Pradesh,384.6,40,Small,664.48,31.97,194,36.21,7024.74,Wholesale,470,88.75,100.16
1912,Tamil Nadu,613.25,47,Small,29.7,32.25,12,36.62,439.44,Wholesale,17,49.71,128.25
1913,Madhya Pradesh,488.09,16,Small,414.48,98.33,124,100.67,12483.08,Wholesale,290,99.56,33.52
1914,Jharkhand,166.33,29,Large,383.46,77.61,256,76.66,19624.96,Retail,127,34.24,73.01
1915,Bihar,351.14,64,Large,133.05,95.44,119,94.0,11186.0,Wholesale,14,15.25,58.8
1916,Bihar,329.48,68,Small,54.68,22.08,48,25.28,1213.44,Online,6,65.95,64.52
1917,Gujarat,527.4,65,Medium,211.38,82.97,40,82.63,3305.2,Wholesale,171,53.03,79.83
1918,Chandigarh,233.02,67,Small,571.92,51.34,249,48.61,12103.89,Online,322,63.6,169.27
1919,Rajasthan,627.32,43,Medium,103.7,41.02,12,39.04,468.48,Retail,91,19.95,197.72
1920,Rajasthan,69.87,91,Large,328.65,39.27,38,38.0,1444.0,Wholesale,290,13.96,68.24
1921,Delhi,764.8,27,Large,84.22,92.49,68,88.29,6003.72,Wholesale,16,85.51,117.92
1922,Haryana,353.15,35,Medium,909.05,11.48,840,14.83,12457.2,Online,69,36.56,39.81
1923,Kerala,860.7,51,Large,63.01,12.63,4,9.27,37.08,Wholesale,59,49.97,61.74
1924,Rajasthan,235.09,12,Large,402.34,79.84,252,75.54,19036.08,Retail,150,86.88,51.43
1925,Karnataka,110.58,78,Large,238.77,91.4,79,88.16,6964.64,Wholesale,159,50.93,191.7
1926,Karnataka,754.57,70,Medium,554.61,70.04,117,68.47,8010.99,Online,437,87.54,148.76
1927,Maharashtra,366.66,21,Small,11.94,22.48,11,20.19,222.09,Retail,0,98.67,22.39
1928,Telangana,713.0,19,Large,449.98,67.72,35,64.92,2272.2,Retail,414,81.27,190.6
1929,Rajasthan,566.61,57,Medium,358.89,55.69,177,59.41,10515.57,Retail,181,38.47,58.6
1930,Delhi,636.88,95,Medium,304.2,91.43,202,90.93,18367.86,Online,102,93.23,120.83
1931,Karnataka,958.44,49,Small,369.19,77.41,221,72.65,16055.65,Online,148,27.6,81.47
1932,Tamil Nadu,232.5,16,Small,834.14,83.09,832,82.96,69022.72,Retail,2,28.35,24.07
1933,West Bengal,202.66,93,Large,719.43,53.06,417,53.93,22488.81,Online,302,37.23,55.34
1934,Haryana,614.37,23,Small,640.63,87.92,355,88.82,31531.1,Wholesale,285,95.23,169.82
1935,Rajasthan,452.44,11,Large,315.2,42.09,271,40.68,11024.28,Online,44,57.63,179.68
1936,Telangana,121.83,34,Medium,388.54,94.33,315,95.46,30069.9,Online,73,22.38,146.93
1937,Madhya Pradesh,847.52,93,Medium,288.99,99.71,215,99.25,21338.75,Wholesale,73,89.49,170.79
1938,Delhi,609.62,87,Medium,724.62,81.84,112,77.49,8678.88,Retail,612,62.44,142.1
1939,Rajasthan,733.82,21,Large,134.21,93.92,67,94.33,6320.11,Online,67,55.96,119.04
1940,Madhya Pradesh,164.72,76,Medium,701.45,32.97,133,36.07,4797.31,Retail,568,87.96,95.8
1941,Madhya Pradesh,825.27,54,Large,385.19,52.02,246,51.83,12750.18,Wholesale,139,53.59,46.35
1942,Chandigarh,278.15,49,Medium,624.19,79.28,288,83.19,23958.72,Wholesale,336,87.22,86.33
1943,Maharashtra,275.72,79,Medium,322.46,63.61,152,60.78,9238.56,Wholesale,170,97.44,155.22
1944,Kerala,252.95,93,Medium,212.16,13.18,108,14.3,1544.4,Wholesale,104,94.32,146.26
1945,Rajasthan,990.54,88,Small,992.99,97.21,129,101.42,13083.18,Online,863,17.68,53.15
1946,Bihar,468.82,68,Medium,44.28,56.84,38,57.05,2167.9,Online,6,90.68,46.29
1947,Haryana,15.37,35,Small,401.83,79.41,372,77.53,28841.16,Wholesale,29,18.2,37.6
1948,West Bengal,926.74,68,Large,647.64,15.87,16,12.24,195.84,Retail,631,71.49,83.74
1949,Rajasthan,148.77,87,Medium,608.37,72.55,323,71.76,23178.48,Online,285,78.56,78.59
1950,Maharashtra,311.04,64,Large,926.17,35.65,408,33.37,13614.96,Online,518,61.11,149.48
1951,Jharkhand,414.84,24,Medium,405.55,49.85,375,50.56,18960.0,Wholesale,30,72.07,119.95
1952,Karnataka,156.12,78,Medium,87.86,49.87,71,52.63,3736.73,Retail,16,14.03,35.88
1953,Chandigarh,954.25,73,Medium,1.17,50.66,1,52.63,52.63,Retail,0,86.88,26.59
1954,Chandigarh,97.72,36,Medium,374.48,12.68,154,11.53,1775.62,Wholesale,220,40.8,118.71
1955,Maharashtra,237.16,100,Small,490.7,30.63,124,29.71,3684.04,Online,366,12.6,109.09
1956,Bihar,652.57,17,Large,157.42,38.59,134,36.97,4953.98,Wholesale,23,43.67,125.23
1957,Maharashtra,52.76,61,Small,126.35,48.41,17,52.32,889.44,Retail,109,57.83,54.89
1958,Uttar Pradesh,125.21,37,Large,855.01,41.16,629,43.65,27455.85,Online,226,74.37,89.38
1959,Rajasthan,79.77,83,Large,236.89,60.71,123,61.48,7562.04,Online,113,49.7,80.18
1960,Karnataka,539.44,81,Small,841.9,15.66,106,20.07,2127.42,Online,735,37.27,143.07
1961,Chandigarh,861.93,26,Small,228.28,90.63,149,94.05,14013.45,Wholesale,79,22.82,120.52
1962,Kerala,472.55,15,Medium,413.19,57.6,38,60.44,2296.72,Online,375,93.58,96.41
1963,Haryana,439.51,53,Medium,434.87,60.2,217,59.76,12967.92,Wholesale,217,68.68,187.18
1964,West Bengal,17.17,41,Large,866.72,68.81,504,70.12,35340.48,Retail,362,66.86,145.32
1965,Chandigarh,101.9,94,Medium,52.6,88.81,39,84.43,3292.77,Online,13,64.85,97.44
1966,Delhi,612.26,14,Medium,683.89,47.59,193,50.44,9734.92,Online,490,85.37,23.33
1967,Karnataka,812.35,82,Large,268.95,10.32,183,7.84,1434.72,Online,85,78.33,126.98
1968,Karnataka,415.75,69,Large,918.72,82.76,495,82.86,41015.7,Online,423,44.15,55.94
1969,Maharashtra,794.16,65,Small,869.89,13.26,632,9.45,5972.4,Online,237,98.65,115.53
1970,Uttar Pradesh,461.13,77,Large,347.7,85.2,105,86.02,9032.1,Retail,242,95.85,75.71
1971,Kerala,643.62,23,Medium,381.36,93.13,24,93.28,2238.72,Wholesale,357,32.33,84.81
1972,Madhya Pradesh,743.31,48,Large,631.11,96.39,38,94.22,3580.36,Retail,593,38.44,37.3
1973,Bihar,930.77,78,Small,781.3,36.47,672,40.0,26880.0,Wholesale,109,96.13,190.35
1974,Jharkhand,595.35,63,Medium,745.07,78.85,254,77.14,19593.56,Retail,491,76.81,49.25
1975,Bihar,523.18,48,Small,459.37,20.99,266,24.05,6397.3,Wholesale,193,88.36,52.24
1976,Chandigarh,424.95,59,Medium,297.13,90.18,145,90.98,13192.1,Wholesale,152,50.87,145.96
1977,Bihar,617.58,94,Large,907.81,20.1,676,17.84,12059.84,Retail,231,77.36,146.2
1978,Delhi,602.79,32,Small,825.64,21.8,662,22.52,14908.24,Wholesale,163,77.48,113.55
1979,Uttar Pradesh,69.87,33,Small,169.57,27.25,98,28.18,2761.64,Wholesale,71,46.58,151.89
1980,West Bengal,384.88,21,Medium,660.22,15.77,29,14.81,429.49,Wholesale,631,70.8,161.1
1981,Delhi,249.86,56,Large,724.8,95.25,260,99.54,25880.4,Retail,464,84.32,114.28
1982,Jharkhand,111.6,32,Medium,544.83,99.49,459,95.37,43774.83,Retail,85,81.18,199.12
1983,Delhi,195.15,56,Large,607.71,45.51,474,40.99,19429.26,Online,133,45.91,31.39
1984,Rajasthan,837.33,55,Large,297.29,84.99,181,81.67,14782.27,Online,116,28.07,52.67
1985,Gujarat,25.59,61,Medium,752.14,50.77,443,52.29,23164.47,Wholesale,309,34.6,116.55
1986,Tamil Nadu,946.29,93,Large,901.07,22.67,684,24.89,17024.76,Retail,217,51.81,136.66
1987,Haryana,414.5,83,Small,896.69,92.97,478,89.33,42699.74,Retail,418,17.06,171.42
1988,Delhi,518.64,41,Large,180.38,85.62,78,89.34,6968.52,Retail,102,46.6,164.57
1989,Haryana,812.5,71,Small,816.36,37.4,632,33.03,20874.96,Retail,184,89.17,188.16
1990,Rajasthan,22.61,48,Large,10.08,56.72,2,58.57,117.14,Wholesale,8,24.43,149.81
1991,Tamil Nadu,754.52,95,Large,862.97,20.24,235,16.4,3854.0,Online,627,23.37,170.63
1992,Kerala,859.79,40,Small,761.01,39.83,106,44.74,4742.44,Wholesale,655,31.14,183.3
1993,Madhya Pradesh,857.88,43,Large,678.76,60.11,98,56.57,5543.86,Retail,580,52.24,137.21
1994,Rajasthan,604.26,26,Medium,750.85,85.78,733,82.5,60472.5,Online,17,32.36,59.68
1995,Haryana,580.91,63,Medium,677.05,83.91,80,85.22,6817.6,Wholesale,597,25.82,46.49
1996,Chandigarh,479.91,18,Small,55.65,62.25,2,58.02,116.04,Retail,53,17.38,22.65
1997,Maharashtra,568.95,64,Small,605.5,29.51,390,32.15,12538.5,Retail,215,11.96,94.07
1998,Delhi,790.72,41,Medium,459.33,80.82,41,80.13,3285.33,Wholesale,418,44.83,127.36
1999,Gujarat,435.3,28,Small,503.08,20.89,416,25.18,10474.88,Wholesale,87,47.08,50.75
2000,Telangana,710.3,18,Small,862.81,42.99,231,44.31,10235.61,Retail,631,95.35,20.18
2001,Jharkhand,366.24,60,Large,338.73,19.66,292,17.32,5057.44,Online,46,29.59,30.49
2002,Chandigarh,598.89,30,Medium,812.66,89.77,481,92.04,44271.24,Wholesale,331,11.77,169.02
2003,Uttar Pradesh,687.35,64,Medium,464.51,49.84,365,49.76,18162.4,Retail,99,43.69,29.69
2004,Delhi,977.43,30,Large,646.6,29.59,428,26.22,11222.16,Wholesale,218,79.16,108.86
2005,Madhya Pradesh,624.23,35,Small,79.1,20.79,11,22.31,245.41,Retail,68,96.05,196.05
2006,Karnataka,409.06,38,Medium,958.81,35.47,949,36.92,35037.08,Online,9,57.78,195.98
2007,Maharashtra,135.67,64,Large,389.62,48.36,277,48.99,13570.23,Retail,112,11.63,21.16
2008,Jharkhand,853.35,62,Large,964.57,82.37,738,79.23,58471.74,Online,226,99.1,131.34
2009,Madhya Pradesh,409.37,92,Small,289.39,34.11,77,37.85,2914.45,Online,212,45.39,27.63
2010,Chandigarh,551.16,98,Medium,902.25,56.04,799,58.67,46877.33,Online,103,40.74,113.74
2011,Chandigarh,257.81,28,Medium,905.27,83.26,119,86.65,10311.35,Retail,786,46.57,51.77
2012,Jharkhand,164.55,73,Large,330.06,94.26,158,89.45,14133.1,Wholesale,172,78.45,94.12
2013,Jharkhand,241.28,40,Small,7.52,17.86,7,16.84,117.88,Wholesale,0,27.16,165.55
2014,Gujarat,661.59,82,Large,333.37,46.55,134,45.1,6043.4,Wholesale,199,34.95,181.79
2015,Kerala,861.07,56,Large,298.17,59.46,112,55.0,6160.0,Wholesale,186,74.4,57.54
2016,Maharashtra,319.76,34,Small,633.59,18.04,148,21.91,3242.68,Online,485,42.03,121.15
2017,Delhi,104.68,59,Large,414.67,26.89,192,27.85,5347.2,Retail,222,11.16,51.24
2018,Tamil Nadu,347.2,82,Small,196.53,17.89,108,17.14,1851.12,Retail,88,38.25,120.25
2019,Rajasthan,583.66,89,Small,50.66,40.37,26,44.3,1151.8,Wholesale,24,99.87,109.93
2020,Chandigarh,805.76,25,Small,293.75,82.06,225,81.59,18357.75,Wholesale,68,49.4,76.53
2021,Kerala,915.36,85,Large,254.17,56.21,231,58.74,13568.94,Online,23,52.58,159.67
2022,Tamil Nadu,391.6,17,Small,193.38,84.77,33,80.2,2646.6,Wholesale,160,85.54,106.83
2023,Delhi,777.29,60,Medium,329.38,15.8,107,16.18,1731.26,Wholesale,222,87.91,188.22
2024,Gujarat,449.91,44,Medium,333.76,16.79,209,13.38,2796.42,Online,124,75.69,138.25
2025,Jharkhand,416.07,26,Medium,847.5,59.46,709,64.42,45673.78,Online,138,23.69,120.34
2026,Chandigarh,416.33,59,Medium,877.11,81.62,554,86.41,47871.14,Retail,323,82.44,45.48
2027,West Bengal,297.65,58,Small,700.58,71.43,268,68.02,18229.36,Retail,432,50.75,47.73
2028,West Bengal,568.1,59,Small,239.71,54.04,113,58.22,6578.86,Wholesale,126,65.06,79.68
2029,Chandigarh,935.45,72,Large,732.79,62.51,156,64.03,9988.68,Wholesale,576,55.17,176.46
2030,Chandigarh,296.54,36,Small,508.41,99.84,78,100.28,7821.84,Retail,430,23.65,100.87
2031,Karnataka,443.03,23,Medium,713.67,47.37,429,49.76,21347.04,Online,284,39.73,96.8
2032,Karnataka,161.38,68,Small,119.54,67.13,79,66.67,5266.93,Wholesale,40,39.46,77.63
2033,Karnataka,759.71,74,Medium,583.59,12.13,552,7.62,4206.24,Online,31,95.24,66.82
2034,Uttar Pradesh,193.53,83,Small,37.43,62.0,20,61.54,1230.8,Wholesale,17,61.75,119.11
2035,Maharashtra,926.92,44,Small,71.21,62.24,39,60.36,2354.04,Online,32,96.68,181.81
2036,Jharkhand,676.6,17,Small,760.9,17.59,399,14.75,5885.25,Wholesale,361,39.79,32.04
2037,Tamil Nadu,46.87,95,Medium,623.85,58.4,193,54.48,10514.64,Wholesale,430,66.89,59.53
2038,Gujarat,77.88,92,Small,753.86,43.18,410,47.0,19270.0,Online,343,95.98,171.13
2039,Delhi,553.7,88,Small,456.3,45.89,68,45.9,3121.2,Retail,388,84.21,156.12
2040,Telangana,843.8,93,Medium,681.46,70.77,193,68.22,13166.46,Wholesale,488,48.0,150.37
2041,Bihar,392.07,19,Large,619.5,91.93,50,90.59,4529.5,Wholesale,569,48.55,170.28
2042,Maharashtra,123.86,79,Medium,626.94,71.73,429,76.2,32689.8,Wholesale,197,86.19,104.76
2043,Delhi,930.73,27,Medium,876.9,59.61,807,63.46,51212.22,Retail,69,88.2,189.28
2044,Jharkhand,398.23,21,Large,249.85,97.12,21,99.58,2091.18,Wholesale,228,45.45,64.74
2045,Bihar,375.26,46,Small,953.34,48.88,761,45.55,34663.55,Wholesale,192,11.41,193.05
2046,Uttar Pradesh,648.3,95,Medium,227.19,30.5,204,34.92,7123.68,Retail,23,30.56,198.22
2047,Tamil Nadu,484.39,19,Large,696.09,63.33,639,66.81,42691.59,Retail,57,46.04,173.7
2048,West Bengal,486.21,36,Large,374.13,74.86,2,79.06,158.12,Online,372,17.94,110.39
2049,West Bengal,135.64,15,Small,728.85,92.75,6,89.5,537.0,Retail,722,56.0,41.76
2050,Uttar Pradesh,828.47,90,Medium,910.04,84.55,94,85.23,8011.62,Online,816,12.18,42.99
2051,Chandigarh,61.05,41,Medium,832.48,86.44,325,82.12,26689.0,Retail,507,59.4,116.34
2052,Bihar,188.5,41,Small,720.34,43.67,290,42.71,12385.9,Online,430,20.77,87.33
2053,Haryana,908.37,37,Small,32.05,85.81,7,81.82,572.74,Online,25,73.68,114.82
2054,Kerala,184.23,77,Large,330.44,65.47,118,68.25,8053.5,Wholesale,212,34.62,62.84
2055,Madhya Pradesh,685.61,34,Medium,538.58,32.78,383,32.56,12470.48,Wholesale,155,36.03,197.54
2056,Uttar Pradesh,902.67,85,Medium,206.61,89.41,103,87.99,9062.97,Retail,103,12.58,35.53
2057,Kerala,779.1,35,Medium,803.6,70.63,766,74.99,57442.34,Wholesale,37,40.34,30.4
2058,Chandigarh,150.78,27,Small,690.41,34.21,69,36.26,2501.94,Wholesale,621,84.84,56.46
2059,Uttar Pradesh,736.1,52,Medium,512.73,96.18,392,92.12,36111.04,Retail,120,67.28,155.07
2060,Delhi,738.57,96,Medium,652.38,29.74,404,25.14,10156.56,Retail,248,95.13,190.1
2061,Maharashtra,561.93,74,Small,511.56,16.17,246,16.27,4002.42,Wholesale,265,86.41,138.28
2062,Delhi,776.07,94,Medium,852.59,11.74,541,7.37,3987.17,Online,311,39.05,71.59
2063,West Bengal,355.29,18,Medium,10.33,73.98,2,71.09,142.18,Retail,8,56.35,198.35
2064,Jharkhand,555.83,42,Medium,456.83,68.73,401,69.35,27809.35,Online,55,73.92,179.06
2065,Gujarat,695.23,17,Large,879.27,35.16,608,36.24,22033.92,Wholesale,271,29.11,87.33
2066,Bihar,33.69,59,Medium,54.92,35.56,20,35.21,704.2,Wholesale,34,24.68,26.35
2067,Karnataka,673.66,56,Medium,729.25,20.89,364,17.36,6319.04,Retail,365,96.84,125.23
2068,Bihar,914.95,17,Medium,273.15,72.1,256,70.06,17935.36,Retail,17,25.32,33.04
2069,Chandigarh,151.46,32,Small,445.63,48.49,88,51.99,4575.12,Retail,357,69.11,60.64
2070,Telangana,493.47,67,Medium,617.41,66.26,334,70.3,23480.2,Retail,283,27.28,154.94
2071,Jharkhand,607.35,52,Large,425.81,13.58,181,13.49,2441.69,Online,244,71.37,108.16
2072,Maharashtra,625.01,75,Medium,713.91,83.75,532,79.57,42331.24,Wholesale,181,94.07,191.62
2073,Haryana,65.62,38,Large,519.36,76.19,506,75.36,38132.16,Online,13,56.02,137.4
2074,Karnataka,15.26,83,Large,176.27,45.86,175,47.63,8335.25,Retail,1,59.82,95.64
2075,Delhi,880.54,34,Large,47.68,36.92,7,39.72,278.04,Retail,40,25.38,25.82
2076,Maharashtra,924.05,100,Medium,959.97,48.35,610,46.05,28090.5,Online,349,82.11,22.35
2077,Madhya Pradesh,479.98,77,Small,40.92,76.33,3,78.03,234.09,Online,37,87.62,159.76
2078,Kerala,881.94,12,Small,521.22,81.22,387,86.17,33347.79,Retail,134,35.02,92.98
2079,Uttar Pradesh,762.18,56,Small,513.9,35.89,176,35.61,6267.36,Retail,337,34.65,23.93
2080,Bihar,735.84,62,Small,275.3,29.94,175,25.67,4492.25,Online,100,31.4,32.15
2081,Chandigarh,990.49,64,Large,936.0,74.09,612,76.51,46824.12,Retail,324,10.36,124.3
2082,Kerala,477.86,97,Small,37.03,12.83,1,12.54,12.54,Online,36,20.14,22.4
2083,Uttar Pradesh,290.77,38,Large,226.35,45.24,18,49.91,898.38,Retail,208,32.73,37.76
2084,Uttar Pradesh,946.12,13,Medium,104.97,99.39,45,100.66,4529.7,Retail,59,69.39,165.2
2085,Jharkhand,104.08,25,Large,564.68,89.28,428,91.11,38995.08,Retail,136,65.67,197.39
2086,Telangana,548.81,28,Small,3.46,34.69,2,39.66,79.32,Wholesale,1,56.65,138.76
2087,Uttar Pradesh,154.41,48,Medium,421.35,96.85,37,99.69,3688.53,Retail,384,44.21,124.85
2088,Chandigarh,196.02,57,Large,379.21,49.71,318,48.73,15496.14,Online,61,34.77,118.0
2089,Karnataka,651.12,48,Large,422.35,21.22,248,18.03,4471.44,Wholesale,174,29.27,145.63
2090,Uttar Pradesh,790.68,94,Small,984.69,55.76,335,53.61,17959.35,Wholesale,649,47.16,77.21
2091,Haryana,43.93,15,Large,158.72,44.96,5,43.09,215.45,Retail,153,61.52,171.51
2092,Delhi,855.37,17,Medium,288.01,97.13,274,96.88,26545.12,Online,14,76.68,90.87
2093,Maharashtra,225.0,33,Large,466.35,51.17,323,51.81,16734.63,Retail,143,12.59,64.06
2094,Karnataka,135.71,38,Medium,873.36,98.65,558,103.2,57585.6,Wholesale,315,31.47,61.31
2095,Rajasthan,340.9,65,Small,165.0,57.21,117,56.07,6560.19,Retail,48,40.87,103.16
2096,Delhi,138.91,59,Small,393.72,23.78,263,28.34,7453.42,Retail,130,73.74,58.62
2097,Telangana,207.06,15,Medium,571.79,22.05,566,19.44,11003.04,Retail,5,51.37,118.18
2098,Jharkhand,776.91,20,Medium,617.64,91.81,564,92.68,52271.52,Wholesale,53,81.56,57.25
2099,Uttar Pradesh,77.65,99,Large,343.07,85.1,277,81.32,22525.64,Wholesale,66,89.64,187.37
2100,Karnataka,704.64,94,Large,688.07,92.83,184,92.22,16968.48,Wholesale,504,74.72,87.21
2101,Karnataka,235.56,72,Small,169.43,58.49,17,54.89,933.13,Online,152,40.7,160.0
2102,Gujarat,201.96,67,Small,234.68,89.51,142,92.07,13073.94,Online,92,71.31,134.65
2103,Haryana,587.13,70,Medium,150.81,67.89,8,66.22,529.76,Retail,142,84.55,50.05
2104,Bihar,465.45,32,Small,715.52,81.52,112,85.58,9584.96,Online,603,36.17,78.61
2105,Haryana,860.41,37,Medium,608.43,81.04,112,85.04,9524.48,Retail,496,24.23,58.15
2106,Karnataka,386.81,32,Large,94.97,58.45,17,58.99,1002.83,Retail,77,91.78,130.63
2107,Maharashtra,179.64,89,Large,260.87,72.07,168,71.34,11985.12,Retail,92,79.82,117.04
2108,Chandigarh,632.45,64,Small,907.78,58.85,115,58.52,6729.8,Retail,792,75.31,59.09
2109,Telangana,417.1,42,Large,184.78,89.12,184,91.8,16891.2,Online,0,24.53,55.25
2110,Telangana,682.26,51,Small,419.9,77.7,410,73.83,30270.3,Wholesale,9,75.28,143.34
2111,Delhi,953.59,62,Small,669.33,93.76,57,97.8,5574.6,Online,612,22.13,113.46
2112,West Bengal,963.65,64,Large,388.22,52.86,181,55.55,10054.55,Retail,207,20.28,52.18
2113,Jharkhand,428.43,95,Medium,156.12,87.46,48,91.04,4369.92,Wholesale,108,74.33,91.46
2114,Chandigarh,90.24,53,Large,992.85,86.26,284,81.69,23199.96,Online,708,55.44,156.52
2115,Delhi,661.96,97,Medium,902.8,26.41,399,25.8,10294.2,Retail,503,65.3,171.55
2116,Haryana,980.16,39,Small,278.43,88.37,200,93.03,18606.0,Wholesale,78,83.59,130.99
2117,Rajasthan,895.2,18,Small,453.27,92.36,398,90.64,36074.72,Retail,55,66.45,154.99
2118,Chandigarh,768.33,65,Medium,380.01,13.09,35,14.05,491.75,Online,345,16.06,25.36
2119,West Bengal,409.07,33,Small,277.38,49.54,196,48.76,9556.96,Online,81,40.14,156.37
2120,Chandigarh,745.78,12,Medium,728.88,52.82,507,50.13,25415.91,Retail,221,20.13,80.89
2121,Maharashtra,118.88,97,Large,770.59,74.2,555,71.35,39599.25,Wholesale,215,88.27,169.1
2122,Karnataka,846.39,26,Large,952.18,17.05,60,19.62,1177.2,Retail,892,70.0,154.83
2123,Haryana,666.36,40,Medium,674.95,71.27,238,67.3,16017.4,Wholesale,436,34.35,107.93
2124,Delhi,835.42,70,Small,911.26,55.57,93,56.94,5295.42,Retail,818,13.72,140.52
2125,Haryana,943.29,10,Small,429.74,35.66,204,36.45,7435.8,Wholesale,225,79.92,31.78
2126,Karnataka,110.04,79,Small,281.49,79.97,179,80.67,14439.93,Retail,102,80.09,107.59
2127,Tamil Nadu,852.3,12,Large,828.85,67.29,437,67.4,29453.8,Online,391,76.58,85.51
2128,Uttar Pradesh,864.48,49,Large,818.1,85.85,54,90.28,4875.12,Online,764,66.1,85.41
2129,Rajasthan,90.12,21,Medium,607.19,13.13,522,12.28,6410.16,Wholesale,85,62.43,85.3
2130,Bihar,930.28,20,Large,640.53,65.31,2,66.26,132.52,Retail,638,66.21,184.36
2131,Tamil Nadu,761.69,99,Medium,125.26,61.69,56,58.05,3250.8,Online,69,18.51,150.17
2132,Delhi,564.24,64,Medium,203.92,20.84,4,21.28,85.12,Wholesale,199,47.99,179.15
2133,Delhi,279.53,56,Small,884.91,55.21,174,51.61,8980.14,Retail,710,69.41,83.87
2134,Bihar,104.84,47,Large,269.54,31.02,211,26.41,5572.51,Retail,58,86.82,127.37
2135,Chandigarh,902.85,85,Large,611.84,93.52,92,94.17,8663.64,Retail,519,75.46,182.39
2136,Chandigarh,922.94,98,Large,388.05,34.33,39,36.04,1405.56,Wholesale,349,97.78,195.97
2137,Rajasthan,613.54,53,Medium,272.42,20.16,86,16.05,1380.3,Wholesale,186,80.1,177.03
2138,West Bengal,317.27,20,Medium,161.32,90.12,22,85.34,1877.48,Online,139,31.8,53.64
2139,Uttar Pradesh,540.51,29,Small,875.44,59.68,538,57.94,31171.72,Wholesale,337,24.68,132.55
2140,Bihar,581.95,98,Small,710.77,99.99,37,95.89,3547.93,Online,673,77.12,106.01
2141,Delhi,142.96,86,Large,109.51,24.2,58,22.21,1288.18,Wholesale,51,54.25,78.31
2142,Jharkhand,840.25,79,Large,466.88,81.94,113,81.49,9208.37,Wholesale,353,53.78,36.59
2143,Gujarat,420.29,73,Medium,663.57,43.46,626,41.14,25753.64,Retail,37,15.87,111.71
2144,Telangana,145.92,39,Small,667.5,11.13,661,14.95,9881.95,Wholesale,6,93.25,197.07
2145,Uttar Pradesh,236.86,16,Small,148.7,42.22,135,45.24,6107.4,Online,13,41.16,179.77
2146,Uttar Pradesh,386.7,44,Medium,384.85,93.91,85,97.35,8274.75,Retail,299,62.04,116.21
2147,Tamil Nadu,660.63,53,Small,910.81,68.3,212,64.34,13640.08,Online,698,45.54,30.38
2148,Madhya Pradesh,43.24,94,Small,979.68,22.42,491,21.59,10600.69,Wholesale,488,26.67,177.99
2149,Uttar Pradesh,316.59,26,Large,620.36,40.39,417,40.86,17038.62,Retail,203,57.1,98.66
2150,Gujarat,704.5,60,Large,443.88,37.4,111,34.27,3803.97,Wholesale,332,87.01,55.14
2151,Telangana,265.13,48,Medium,972.53,53.97,949,50.32,47753.68,Wholesale,23,41.53,21.63
2152,Madhya Pradesh,571.09,89,Medium,834.56,53.21,343,58.02,19900.86,Wholesale,491,29.74,64.12
2153,Delhi,768.0,53,Small,965.86,65.58,663,65.96,43731.48,Wholesale,302,85.63,142.96
2154,Uttar Pradesh,637.88,86,Large,74.7,85.07,68,80.59,5480.12,Retail,6,40.31,168.29
2155,Bihar,830.53,42,Large,846.12,72.89,307,68.17,20928.19,Online,539,64.03,91.07
2156,Jharkhand,808.4,96,Small,575.93,29.7,24,31.11,746.64,Online,551,66.68,115.41
2157,Karnataka,756.0,88,Large,999.87,56.69,677,57.84,39157.68,Wholesale,322,44.56,48.08
2158,Jharkhand,726.1,66,Small,928.82,26.25,487,31.22,15204.14,Retail,441,31.66,26.18
2159,Rajasthan,74.47,47,Large,279.75,14.03,121,14.77,1787.17,Retail,158,89.5,24.3
2160,Haryana,910.73,33,Large,112.56,94.62,63,93.15,5868.45,Online,49,28.17,27.61
2161,Rajasthan,704.76,47,Medium,701.85,70.75,503,69.65,35033.95,Online,198,41.97,137.45
2162,Jharkhand,369.14,32,Medium,666.96,51.72,242,49.39,11952.38,Retail,424,45.4,72.73
2163,Karnataka,980.47,88,Small,325.67,24.77,71,22.68,1610.28,Retail,254,87.3,108.89
2164,Gujarat,522.21,56,Medium,158.23,58.2,124,55.68,6904.32,Retail,34,91.25,54.28
